employee_id,department,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,avg_training_score,age_no,previous_year_rating_no,length_of_service_no,avg_training_score_no
75402,Analytics,Masters & above,m,other,1,34,3.0,3,0,87,34.0,3.0,3.0,87
52587,Procurement,Bachelors,m,other,1,44,2.0,16,0,70,44.0,2.0,,70
41662,Procurement,Bachelors,m,sourcing,1,28,3.0,4,0,69,28.0,3.0,4.0,69
73944,Operations,Bachelors,f,other,1,31,1.0,5,1,61,31.0,1.0,5.0,61
3987,Analytics,Bachelors,m,other,1,34,2.0,5,0,84,34.0,2.0,5.0,84
40057,Procurement,Below Secondary,m,other,1,22,3.0,2,1,71,22.0,3.0,2.0,71
12411,Procurement,Bachelors,f,other,1,32,3.0,7,1,66,32.0,3.0,7.0,66
15161,Technology,Masters & above,f,other,1,43,3.0,6,1,80,43.0,3.0,6.0,80
59084,Analytics,Masters & above,f,other,1,42,5.0,13,1,85,42.0,5.0,13.0,85
53857,HR,Bachelors,m,other,1,41,3.0,8,1,54,41.0,3.0,8.0,54
42772,Technology,Bachelors,f,other,1,27,3.0,2,0,84,27.0,3.0,2.0,84
5294,Finance,Bachelors,m,sourcing,1,41,4.0,9,0,56,41.0,4.0,9.0,56
56439,Technology,Bachelors,m,other,1,26,5.0,2,1,76,26.0,5.0,2.0,76
29998,Analytics,Bachelors,m,other,1,35,5.0,10,1,85,35.0,5.0,10.0,85
76599,Sales & Marketing,Bachelors,f,sourcing,1,28,1.0,3,0,58,28.0,1.0,3.0,58
27424,HR,Bachelors,f,sourcing,1,50,1.0,9,0,46,50.0,1.0,9.0,46
75833,Sales & Marketing,Masters & above,m,other,2,37,1.0,10,0,49,37.0,1.0,10.0,49
57068,Operations,Bachelors,m,other,2,35,3.0,8,1,64,35.0,3.0,8.0,64
70129,Sales & Marketing,Masters & above,f,other,1,29,4.0,4,0,51,29.0,4.0,4.0,51
14733,Sales & Marketing,Bachelors,f,sourcing,1,36,5.0,8,0,47,36.0,5.0,8.0,47
7561,Finance,Bachelors,m,other,1,36,3.0,3,0,55,36.0,3.0,3.0,55
59522,Operations,Bachelors,f,other,2,37,4.0,2,0,71,37.0,4.0,2.0,71
44299,Analytics,Bachelors,m,other,1,30,3.0,4,0,83,30.0,3.0,4.0,83
29220,Finance,Bachelors,m,sourcing,2,26,2.0,2,0,54,26.0,2.0,2.0,54
15869,Procurement,Bachelors,f,sourcing,2,28,5.0,3,1,68,28.0,5.0,3.0,68
51270,Operations,Bachelors,m,other,1,49,4.0,9,0,61,49.0,4.0,9.0,61
19212,Procurement,Masters & above,m,other,1,35,5.0,7,1,70,35.0,5.0,7.0,70
70890,Technology,Bachelors,m,other,1,32,2.0,6,0,90,32.0,2.0,6.0,90
31183,Sales & Marketing,Masters & above,f,sourcing,1,42,3.0,4,0,54,42.0,3.0,4.0,54
46628,Technology,Masters & above,m,other,1,37,4.0,5,0,76,37.0,4.0,5.0,76
44670,Sales & Marketing,Bachelors,m,other,1,28,5.0,2,0,45,28.0,5.0,2.0,45
70734,Procurement,Bachelors,m,other,1,38,4.0,2,1,97,38.0,4.0,2.0,97
47051,Analytics,Bachelors,m,sourcing,2,39,4.0,5,1,86,39.0,4.0,5.0,86
17760,Analytics,Bachelors,m,other,1,28,5.0,2,1,87,28.0,5.0,2.0,87
8180,Operations,Bachelors,m,other,2,34,3.0,10,0,60,34.0,3.0,10.0,60
24756,Operations,Bachelors,f,other,1,37,3.0,3,0,63,37.0,3.0,3.0,63
56780,Sales & Marketing,Masters & above,f,sourcing,2,38,1.0,6,0,51,38.0,1.0,6.0,51
59919,Finance,Bachelors,f,sourcing,1,24,5.0,2,1,57,24.0,5.0,2.0,57
18924,Sales & Marketing,Masters & above,m,other,1,36,3.0,7,0,52,36.0,3.0,7.0,52
42477,Procurement,Bachelors,m,other,1,41,2.0,15,0,70,41.0,2.0,15.0,70
11824,Technology,Masters & above,f,sourcing,2,59,1.0,15,0,76,,1.0,15.0,76
51740,Sales & Marketing,Bachelors,f,sourcing,1,29,3.0,1,0,48,29.0,3.0,1.0,48
51364,Operations,Bachelors,f,other,1,29,5.0,3,0,57,29.0,5.0,3.0,57
64265,Sales & Marketing,Bachelors,f,sourcing,3,31,1.0,5,0,51,31.0,1.0,5.0,51
46233,Sales & Marketing,Bachelors,m,sourcing,1,31,5.0,7,0,51,31.0,5.0,7.0,51
41215,Sales & Marketing,Bachelors,f,sourcing,1,31,4.0,3,0,50,31.0,4.0,3.0,50
47172,Sales & Marketing,Bachelors,m,other,1,32,3.0,4,1,47,32.0,3.0,4.0,47
53542,Procurement,Bachelors,f,other,1,49,4.0,8,0,68,49.0,4.0,8.0,68
2121,Operations,Masters & above,m,other,1,42,5.0,11,0,59,42.0,5.0,11.0,59
77677,Sales & Marketing,Bachelors,m,other,1,32,5.0,7,1,49,32.0,5.0,7.0,49
38018,Analytics,Bachelors,m,other,1,30,3.0,4,0,80,30.0,3.0,4.0,80
29799,Analytics,Bachelors,m,other,1,32,5.0,8,0,86,32.0,5.0,8.0,86
565,Procurement,Bachelors,f,sourcing,2,29,1.0,2,0,74,29.0,1.0,2.0,74
33473,Sales & Marketing,Bachelors,m,sourcing,2,31,1.0,6,0,50,31.0,1.0,6.0,50
46339,Operations,Bachelors,m,other,1,30,3.0,2,1,58,30.0,3.0,2.0,58
6352,Operations,Bachelors,f,sourcing,1,48,4.0,8,1,60,48.0,4.0,8.0,60
63568,Sales & Marketing,Bachelors,m,sourcing,1,39,5.0,12,0,50,39.0,5.0,12.0,50
15317,Analytics,Masters & above,m,sourcing,1,35,2.0,7,1,87,35.0,2.0,7.0,87
63035,Technology,Bachelors,f,other,1,47,4.0,7,0,78,47.0,4.0,7.0,78
22942,Sales & Marketing,Masters & above,m,other,1,46,5.0,3,1,51,46.0,5.0,3.0,51
62212,Procurement,Masters & above,f,other,1,37,3.0,2,1,97,37.0,3.0,2.0,97
49252,Operations,Bachelors,m,other,1,26,5.0,6,1,60,26.0,5.0,6.0,60
38520,Technology,Bachelors,f,sourcing,1,31,5.0,4,1,87,31.0,5.0,4.0,87
69109,Procurement,Bachelors,f,other,1,28,2.0,4,0,69,28.0,2.0,4.0,69
67985,Operations,Masters & above,f,sourcing,2,36,1.0,6,1,65,36.0,1.0,6.0,65
74040,Technology,Masters & above,f,other,1,35,1.0,7,0,80,35.0,1.0,7.0,80
31049,Analytics,Bachelors,m,sourcing,1,34,4.0,9,0,84,34.0,4.0,9.0,84
55523,Analytics,Masters & above,m,sourcing,2,58,5.0,6,1,81,,5.0,6.0,81
40579,Sales & Marketing,Masters & above,m,sourcing,1,29,2.0,5,1,50,29.0,2.0,5.0,50
40211,Operations,Bachelors,m,other,1,36,2.0,9,0,59,36.0,2.0,9.0,59
41982,R&D,Bachelors,m,sourcing,1,30,1.0,4,0,84,30.0,1.0,4.0,84
24286,HR,Masters & above,f,other,1,40,3.0,10,0,49,40.0,3.0,10.0,49
53696,Procurement,Bachelors,m,other,1,38,3.0,4,1,71,38.0,3.0,4.0,71
47130,Sales & Marketing,Bachelors,m,other,1,36,2.0,5,0,52,36.0,2.0,5.0,52
25340,Sales & Marketing,Bachelors,m,other,1,41,4.0,9,0,49,41.0,4.0,9.0,49
16794,Procurement,Masters & above,m,other,1,33,5.0,5,1,66,33.0,5.0,5.0,66
10399,Technology,Bachelors,m,sourcing,1,29,1.0,4,0,79,29.0,1.0,4.0,79
9095,Operations,Masters & above,f,other,1,33,4.0,8,1,81,33.0,4.0,8.0,81
60624,Sales & Marketing,Masters & above,f,other,1,41,1.0,2,0,47,41.0,1.0,2.0,47
30188,Procurement,Masters & above,m,other,2,41,3.0,10,0,67,41.0,3.0,10.0,67
19292,Operations,Masters & above,m,other,1,41,3.0,4,0,60,41.0,3.0,4.0,60
58780,Technology,Bachelors,f,other,1,28,4.0,5,1,76,28.0,4.0,5.0,76
33674,Sales & Marketing,Masters & above,f,sourcing,1,32,5.0,7,1,53,32.0,5.0,7.0,53
17128,Technology,Bachelors,m,other,1,25,3.0,3,0,77,25.0,3.0,3.0,77
28127,Technology,Below Secondary,f,sourcing,1,24,2.0,2,0,85,24.0,2.0,2.0,85
42650,Sales & Marketing,Bachelors,m,other,1,53,4.0,10,1,45,,4.0,10.0,45
58393,Sales & Marketing,Masters & above,m,sourcing,1,38,5.0,12,1,49,38.0,5.0,12.0,49
72037,Legal,Bachelors,m,sourcing,1,31,3.0,3,0,62,31.0,3.0,3.0,62
33736,Sales & Marketing,Bachelors,f,other,2,51,3.0,17,0,52,51.0,3.0,,52
51260,Operations,Masters & above,m,sourcing,1,42,3.0,4,0,59,42.0,3.0,4.0,59
21326,Operations,Masters & above,m,other,1,56,5.0,16,1,59,,5.0,,59
7784,Sales & Marketing,Bachelors,m,other,1,48,4.0,9,0,46,48.0,4.0,9.0,46
33540,Procurement,Masters & above,m,sourcing,1,56,3.0,2,1,65,,3.0,2.0,65
